"","mean","se_mean","sd","0.5%","2.5%","25%","50%","75%","97.5%","99.5%","n_eff","Rhat"
"sigma2",5.09221296556265,0.01898993773364,2.29797808416335,1.84816457332691,2.24319598992385,3.5343903482925,4.58112893996834,6.04976854167583,10.9511757573223,14.8514241391906,14643.4929869095,1.0003348043127
"mu_alpha",-0.739510740431438,0.00751168410155871,1.30240176674165,-4.99632574723292,-3.59371936276192,-1.47555040312044,-0.662271800419151,0.0842198142998044,1.64182597989822,2.69164192796164,30061.8235915839,0.999949383653541
"beta2_aux[1]",1.4621564511508,0.00437582847227957,0.5452746021737,0.116641868517999,0.425358052092215,1.0898226192494,1.45415246135663,1.82211348064822,2.56248579633603,2.9262083833172,15527.8011052991,1.0001473317757
"beta2_aux[2]",-0.570083836036421,0.00342432866902356,0.445118020080179,-1.72060590914221,-1.44528138927564,-0.87109781847652,-0.570680195240761,-0.272555953212689,0.309763645767906,0.583259709985097,16896.605697176,1.00007327928414
"beta2_aux[3]",-2.16383928967423,0.00452998308028584,0.585547656846458,-3.6990955982704,-3.33242101280011,-2.55301853203643,-2.15868500866894,-1.76699707327444,-1.03507025491374,-0.689495532119622,16708.2642421645,1.00017049936263
"beta2_aux[4]",-0.656281923936795,0.00345573399880024,0.447817581220547,-1.82272554710943,-1.5368357864801,-0.958367260769364,-0.657397822750916,-0.357262769717541,0.225907855379152,0.500211001816485,16792.7440339701,1.00006268961567
"beta2_aux[5]",0.933155363775384,0.00389233210022093,0.49019039712099,-0.296986503949786,-0.00738615552382444,0.600503959054904,0.92722528543543,1.26041198929733,1.90205199246888,2.23154818346314,15860.2424686223,1.00009041506228
"beta3_aux[1]",0.303086817447509,0.00374379959488618,0.498130404709157,-0.953999287669578,-0.658054685808658,-0.0373081591487516,0.296719877606461,0.639298014391825,1.28596607166858,1.60646275853354,17703.5725792778,1.0001106978346
"beta3_aux[2]",-0.866514591568118,0.00376245240957679,0.503214148929072,-2.14872377651941,-1.85153131832254,-1.20277049659525,-0.869980634996391,-0.524787878745815,0.120425169137175,0.407973398643701,17888.0770451967,1.00006659895376
"beta3_aux[3]",0.60150272077803,0.00388505489844366,0.513657166448566,-0.66880484207882,-0.385077928999589,0.247197211808326,0.593126672984262,0.949671385516137,1.62155334877573,1.94509723665001,17480.4409341637,1.00012361819529
"beta3_aux[4]",-1.0354207484583,0.0038344912581421,0.512678293735434,-2.35656607418722,-2.04049595345326,-1.37854954334774,-1.03641495403984,-0.687536842672778,-0.0354992942632419,0.26543507992383,17876.1650774795,1.00007341638675
"beta4_aux[1]",-0.0609908181768621,0.00432155916349707,0.66658093163032,-1.75620207419301,-1.35665623354829,-0.510630051486873,-0.0726961820406163,0.383031866817562,1.27489474395322,1.68416046928835,23791.6655383319,1.00006135631043
