"","mean","se_mean","sd","0.5%","2.5%","25%","50%","75%","97.5%","99.5%","n_eff","Rhat"
"sigma2",5.27636694882854,0.103002503209736,2.54760050776483,1.96581501658745,2.3221731960071,3.60374547442037,4.67231878377087,6.22336446314816,11.6989504384983,16.4737051893617,611.740304702359,1.0093955037612
"mu_alpha",-0.725029885223996,0.0416484753066099,1.30450430502648,-5.44315586609381,-3.56555580517139,-1.43280504005149,-0.644644218102463,0.103556789465062,1.62353047167506,2.51801855201843,981.053788263317,1.00323674974615
"beta2_aux[1]",1.50718861298414,0.0255985872575191,0.524602532039014,0.256004252163761,0.547929162154776,1.13632248730136,1.49639989180009,1.85687636223286,2.57091132747934,2.97962288208659,419.980154361506,1.00718477839672
"beta2_aux[2]",-0.68329954450691,0.0251072736576775,0.439805734740312,-1.7418970260494,-1.52130725842773,-0.985588350782635,-0.686557056441259,-0.394953330713181,0.198887805240218,0.550942987402969,306.84755240834,1.00713245606851
"beta2_aux[3]",-2.09847210669253,0.0305901429697618,0.586136966816622,-3.50669283204059,-3.22052705511794,-2.49971290752712,-2.10039128671351,-1.70695899756213,-0.942231294390939,-0.520788583257656,367.142965614722,1.01018265633406
"beta2_aux[4]",-0.642325324407847,0.0249681271895718,0.437617452650944,-1.69872497498604,-1.47830089858125,-0.942774423025002,-0.645448547464098,-0.353875199758403,0.236325358983385,0.591349445853658,307.197255656075,1.00710048899537
"beta2_aux[5]",0.838627714887712,0.0236921039404491,0.458023927177649,-0.297701864557918,-0.00906057038068572,0.518807051415568,0.83625965396594,1.13786608183434,1.77203920014263,2.14448765264532,373.73956323987,1.00612484209925
"beta3_aux[1]",0.241924487459399,0.0232094613478658,0.491031676781076,-1.03519366517938,-0.737022086419165,-0.0807581450043744,0.243056813151153,0.568081803205391,1.19730020179648,1.54606675625238,447.598782590293,1.00828952159491
"beta3_aux[2]",-0.936171557968909,0.0237834690834041,0.504796025892097,-2.30260279849559,-1.94349915871351,-1.26444592694923,-0.939416682088014,-0.613945736050781,0.0769998397364938,0.378218095250924,450.486158161692,1.01082263519936
"beta3_aux[3]",0.680537119312759,0.0239674824508579,0.51403873893518,-0.657579282115224,-0.342154331136745,0.341463392379366,0.686961764099254,1.02360859558118,1.67190624361887,2.04050780045267,459.988382100418,1.00784853766885
"beta3_aux[4]",-0.896935419040108,0.0237052952725389,0.502508564532188,-2.25571865553774,-1.90000503704028,-1.22314491656833,-0.89989538577084,-0.576046003121422,0.1082337247027,0.413599839202245,449.361848774647,1.01072871084613
"beta4_aux[1]",-0.0719783533075356,0.0250898496010858,0.644004177717689,-1.71157949171865,-1.3188075366973,-0.498356078062625,-0.0842681379721498,0.353426524970218,1.21705849461603,1.62228215704954,658.841964376278,1.00178800989186
"beta4_aux[2]",-1.00404846799827,0.023979471000875,0.646953587609655,-2.68383916702913,-2.26425291981066,-1.43573504673983,-1.01089439906316,-0.579970351000852,0.295240593498258,0.691008754411667,727.89218204991,1.00243723336057
"beta_hat2",-0.735503559937578,0.052673112522356,1.34400242271927,-5.67463557206846,-3.62288063552563,-1.46949215632153,-0.657139692426256,0.0964466045044472,1.69809617558399,2.7173113973539,651.061686553648,1.00888941615475
"beta_hat3",-0.710269859125513,0.0424212646861446,1.32455974687502,-5.30010063572448,-3.60632025412015,-1.44712418839029,-0.627788739241186,0.121343931942857,1.66757022191526,2.76329169042532,974.935494313874,1.00341987101966
"beta_hat4",-0.704134366751513,0.0381417262294813,1.24489752138214,-4.56138649755444,-3.2692035167482,-1.44452684913628,-0.660392405993766,0.0754907378116292,1.72665661349571,2.83416030590436,1065.28672552536,1.00080738508056
"tau_beta2",1.85653427301523,0.0710262168994409,1.94588440824137,0.345784862832496,0.453666093794237,0.884508213518847,1.34891347134584,2.15216121144489,6.39084308486231,12.0643436978359,750.579519365047,1.00488498271652
"alpha_aux",-1.04945980861104,0.029751327211987,0.894571317445395,-3.24616738779343,-2.72678821396887,-1.66002012390106,-1.07824239656029,-0.471408188305692,0.817480308161004,1.35693606832835,904.101624800333,1.00452399246943
"alpha",-3.06785267845356,0.0702841253303708,2.11645758402248,-8.9692945573315,-7.28743654253296,-4.42959002540041,-3.07148228021162,-1.6989989113496,1.14783768556226,2.80180440761089,906.785672179429,1.00452680231136
"sigma",2.24382411496755,0.0202502315553439,0.49155501276755,1.40207525298222,1.52386784046691,1.89835335868184,2.1615547144403,2.49466720485591,3.42037285080003,4.05878124433428,589.229214470455,1.01084357463895
"tau_beta",1.2694961551408,0.0186751454564726,0.494893835176443,0.588034746179976,0.673547395316844,0.940482968098507,1.16142734196137,1.46702461165404,2.52801168545161,3.47337640174921,702.257039895112,1.00469553235115
"log_lambda[1]",9.32526126417501,2.71516480294063e-05,0.00541421310624255,9.31124498707742,9.31456156993179,9.32165284069692,9.32527252590716,9.32891718563707,9.33587309027827,9.33910021225221,39762.9229164694,0.999972713176703
"log_lambda[2]",7.3210763817685,4.51645697730603e-05,0.00901126035305571,7.29798805351465,7.30333940312536,7.31500057457085,7.32111573291252,7.3271792937355,7.33874484744817,7.34448268975745,39808.4547442582,0.999962757516154
"log_lambda[3]",6.79205210447208,9.14901527654165e-05,0.0183130848759121,6.74503190289846,6.75579419482983,6.77973557415066,6.79214052743986,6.8043970354985,6.82780508325503,6.83949360430565,40065.84540604,0.999977685494762
"log_lambda[4]",4.78786722206558,9.76831227266014e-05,0.0196452872428929,4.73731564468836,4.74943823432484,4.77469605844275,4.78797520254611,4.80110704612692,4.82620241195453,4.83816931476514,40446.1974002075,0.999992323316626
"log_lambda[5]",10.2683874240726,1.81658229502674e-05,0.00362978398818696,10.2589949252629,10.2613000426174,10.265941699532,10.2683858717527,10.2708303466868,10.2755024011108,10.2776252667265,39925.595904405,1.00000561910216
"log_lambda[6]",8.26420254166606,4.14511051129708e-05,0.00808788493539483,8.2435114570786,8.24833854691598,8.25873289811453,8.26422077706633,8.26966889125502,8.28009293746027,8.28476996567287,38071.2994846285,1.00002105844
"log_lambda[7]",6.87640652922606,8.7889735831743e-05,0.0174917255932879,6.8301254426604,6.84166671646193,6.86477387364555,6.87648051360911,6.88818200375111,6.91081948519624,6.92125530162059,39608.5544708219,0.999916599906729
"log_lambda[8]",4.87222164681955,9.51710173451563e-05,0.0189038646584313,4.82296309895233,4.83477141228949,4.85968250361296,4.87235860394039,4.88484486612636,4.90939002144309,4.92046928801813,39454.0667546798,0.99995501974877
"log_lambda[9]",4.61510757214408,0.000155722499632177,0.03161773394556,4.53301825309815,4.55305453254421,4.59368657719882,4.61536141227429,4.63650884040126,4.67612153521255,4.69554266538644,41224.8181608528,0.999999408657415
"log_lambda[10]",2.61092268973758,0.000160559411042297,0.0324627925527418,2.52675271533608,2.54750024566462,2.58885352061621,2.61120208875673,2.63292401895813,2.67390774369864,2.69416716797922,40878.9959323805,1.00000032034084
"log_lambda[11]",2.08189841244116,0.000179239532861868,0.0360930871240083,1.98807223639853,2.01104493804445,2.05753042162528,2.08239258303289,2.10651114251323,2.15135996510113,2.17244561166584,40549.0284420541,1.00001852234241
"log_lambda[12]",0.0777135300346532,0.000182707016672547,0.0368176840961521,-0.0186231522141497,0.00592579311066166,0.0526267035379492,0.0781093529815013,0.102741302662181,0.148596437414326,0.170962667900107,40607.1473616875,1.00002346210027
"log_lambda[13]",5.55823373204165,0.000154508812740125,0.0313277944039283,5.47756580537739,5.49654239460152,5.53692369761652,5.55857912655099,5.5795893934827,5.61852300056782,5.63795020200481,41110.5350557814,0.999996052527372
"log_lambda[14]",3.55404884963514,0.000159457783221922,0.0321858966633132,3.4701134899627,3.49117431203475,3.53229778913937,3.55431783421524,3.57599175897829,3.61646875498061,3.63625239622893,40741.7594907852,1.00000056222386
"log_lambda[15]",2.16625283719514,0.000176861919143081,0.0356878064244155,2.07215142014735,2.09620167728415,2.14210223079811,2.16626309114508,2.19042556282621,2.23573315995924,2.25766228178209,40716.5566005556,0.999983521860099
"log_lambda[16]",0.162067954788631,0.000181849355533733,0.0364318247286536,0.0674676786898123,0.0909045618713575,0.137471240675785,0.162187575224967,0.186687733783962,0.232983005773127,0.25698923868521,40136.3906704706,0.999993679427547
"log_lambda[17]",1.57067217661013,0.000620374453133663,0.144076486972167,1.1767296196682,1.28021010479248,1.47517086106314,1.57392920715831,1.66942721095139,1.84306604259146,1.92230654122057,53935.9596490862,1.00003270253146
"log_lambda[18]",-0.433512705796375,0.000620613774336042,0.144168924780204,-0.826969610250997,-0.72359622969927,-0.529886104837545,-0.429824594136185,-0.33483772510333,-0.160312355373608,-0.0799646139406553,53963.5482735034,1.00003663116953
"log_lambda[19]",-0.96253698309279,0.000628921482869683,0.145119037744461,-1.35703722635041,-1.25538986086188,-1.05899628651096,-0.959033005172137,-0.862424726265001,-0.688192306181937,-0.611632727747727,53242.191181185,1.00002472972373
"log_lambda[20]",-2.9667218654993,0.000629038361351117,0.145206263685526,-3.36175299139583,-3.25866772385787,-3.06335961548126,-2.96352891496238,-2.86664385483087,-2.69147902983299,-2.61373192374574,53286.4071437695,1.00002893392161
"log_lambda[21]",2.5137983365077,0.000619632823718585,0.144075018508759,2.12058347948275,2.22312611471942,2.41817403455039,2.51723453782614,2.6126735776357,2.78749688584272,2.86677701866824,54064.0451429154,1.00003563326656
"log_lambda[22]",0.509613454101188,0.000619930038778154,0.144168669181881,0.116540753680756,0.219408243793616,0.413533441990254,0.5130098350907,0.608558790759219,0.783452906062053,0.861865095959015,54082.4575070906,1.00003972734297
"log_lambda[23]",-0.878182558338812,0.000622464197202439,0.144917786416526,-1.27170434845944,-1.17138074476356,-0.97420581608419,-0.875318042384366,-0.778405231404613,-0.603807212842973,-0.526211018958926,54201.914866453,1.00004497871151
"log_lambda[24]",-2.88236744074532,0.000622734852682177,0.145007986397673,-3.27533609288332,-3.17477360566533,-2.97853590480952,-2.87953882647662,-2.78251096150513,-2.60833440560333,-2.52983120668281,54222.245447435,1.00004940266457
"log_lambda[25]",4.70327245011055,0.000152242633895286,0.0304092698694408,4.62475811160407,4.64330257909691,4.68285492129631,4.70330527020628,4.72396428505853,4.76221999624767,4.77969774212534,39896.9234782969,0.99999023004788
"log_lambda[26]",2.69908756770404,0.000156086823176703,0.0312796345979708,2.61799284575669,2.63741428999421,2.67795228338356,2.69921077021137,2.72021864595151,2.76004223887367,2.7777502080808,40159.7369130654,0.999997223090667
"log_lambda[27]",2.17006329040762,0.000174593012908632,0.0350596789936937,2.07869435593388,2.10082332065425,2.146612609606,2.17038908225847,2.19368115856451,2.23851741107046,2.25984576797619,40323.8649579041,0.999988946979894
